,CompleteInfo?,UUID,Multipack?,Order,AlphaTitle,IMDBLink,DisplayTitle,Year,Rating,RunTime,Director,Starring,Genres,Tags,Formats,Synopsis,ImageLink,Ra Too?
Amanda,,tt0844471,,,Cloudy with a Chance of Meatballs,https://www.imdb.com/title/tt0844471,Cloudy with a Chance of Meatballs,2009,PG,1:30,,"Anna Faris, Bill Hader, Bruce Campbell","Animation, Adventure, Comedy", ,,A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know that things are about to take a turn for the worst., ,
Amanda,,,,,Cloudy with a Chance of Meatballs II,https://www.imdb.com/title/,Cloudy with a Chance of Meatballs II,,,,,,, ,,, ,
Amanda,,tt0088930,,,Clue: The Movie,https://www.imdb.com/title/tt0088930,Clue: The Movie,1985,PG,1:34,,"Eileen Brennan, Tim Curry, Madeline Kahn","Comedy, Crime, Mystery", ,,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up.", ,
Amanda,,,,,Conan (New),https://www.imdb.com/title/,Conan (New),,,,,,, ,B,, ,
Amanda,,tt1093908,,,Confessions of a Shopaholic,https://www.imdb.com/title/tt1093908,Confessions of a Shopaholic,2009,PG,1:44,P.J. Hogan,"Isla Fisher, Hugh Dancy, Krysten Ritter","Comedy, Romance", ,,A college grad lands a job as a financial journalist in New York City to support where she nurtures her shopping addiction and falls for a wealthy entrepreneur., ,
Amanda,,,,,Congo,https://www.imdb.com/title/,Congo,,,,,,, ,,, ,
Amanda,,tt0360486,,,Constantine,https://www.imdb.com/title/tt0360486,Constantine,2005,R,2:01,,"Keanu Reeves, Rachel Weisz, Djimon Hounsou","Action, Fantasy, Horror", ,,"Supernatural exorcist and demonologist John Constantine helps a policewoman prove her sister's death was not a suicide, but something more.", ,
Amanda,,,,,Cuthroat Island,https://www.imdb.com/title/,Cuthroat Island,,,,,,, ,,, ,
Amanda,,,,,Dan in Real Life,https://www.imdb.com/title/,Dan in Real Life,,,,,,, ,,, ,
Amanda,,,,,Dante's Peak,https://www.imdb.com/title/,Dante's Peak,,,,,,, ,,, ,
Amanda,,tt0083791,,,Dark Crystal,https://www.imdb.com/title/tt0083791,The Dark Crystal,1982,PG,1:33,,"Jim Henson, Kathryn Mullen, Frank Oz","Adventure, Family, Fantasy", ,,"On another planet in the distant past, a Gelfling embarks on a quest to find the missing shard of a magical crystal, and to restore order to his world.", ,
Amanda,,tt0468569,,,Dark Knight,https://www.imdb.com/title/tt0468569,The Dark Knight,2008,PG-13,2:32,Christopher Nolan,"Christian Bale, Heath Ledger","Action, Crime, Drama", ,D,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.", ,
Amanda,,,,,Day After Tomorrow,https://www.imdb.com/title/,Day After Tomorrow,,,,,,, ,,, ,
Amanda,,,,,Deep Blue Sea,https://www.imdb.com/title/,Deep Blue Sea,,,,,,, ,,, ,
Amanda,,,,,Deep Impact,https://www.imdb.com/title/,Deep Impact,,,,,,, ,,, ,
Amanda,,,,,Demolition Man,https://www.imdb.com/title/,Demolition Man,,,,,,, ,,, ,
Amanda,,,,,Dick Tracy,https://www.imdb.com/title/,Dick Tracy,,,,,,, ,,, ,
Amanda,,tt0095016,,,Die Hard,https://www.imdb.com/title/tt0095016,Die Hard,1988,R,2:12,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia","Action, Thriller", ,D,A New York City police officer tries to save his estranged wife and several others taken hostage by terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles., ,
Amanda,,,,,Die Hard 2: Die Harder,https://www.imdb.com/title/,Die Hard 2: Die Harder,,,,,,, ,,, ,
Amanda,,tt0112864,,,Die Hard 3,https://www.imdb.com/title/tt0112864,Die Hard with a Vengeance,1995,R,2:08,John McTiernan,"Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene","Action, Adventure, Thriller", ,D,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.", ,
Amanda,,,,,District 9,https://www.imdb.com/title/,District 9,,,,,,, ,,, ,
Amanda,Y,tt2908446,,,Divergent 2,https://www.imdb.com/title/tt2908446,Insurgent,2015,PG-13,1:59,Robert Schwentke,"Shailene Woodley, Ansel Elgort, Theo James","Action, Adventure, Sci-Fi, Thriller",Dystopian,D,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side., ,
Amanda,Y,tt3410834,,,Divergent 3,https://www.imdb.com/title/tt3410834,Allegiant,2016,PG-13,2:00,Robert Schwentke,"Shailene Woodley, Theo James, Jeff Daniels","Action, Adventure, Mystery, Sci-Fi, Thriller",Dystopian,D,"After the earth-shattering revelations of Insurgent, Tris must escape with Four beyond the wall that encircles Chicago, to finally discover the shocking truth of the world around them.", ,
Amanda,,tt0120655,,,Dogma,https://www.imdb.com/title/tt0120655,Dogma,1999,R,2:10,Kevin Smith,"Ben Affleck, Matt Damon, Linda Fiorentino","Adventure, Comedy, Drama", ,D,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loop-hole and reenter Heaven., ,
